"Was tv 's screen setup?"			'0 - Changing Display Settings on Windows'			False
"Was tv 's screen setup?"			'1 - Open Start .\nOpen Start . Click the Windows logo in the bottom-left corner of the screen. The Start menu will open.'			False
"Was tv 's screen setup?"			'2 - Open Settings .\nOpen Settings . Click the gear-shaped icon in the lower-left side of the menu.'			False
"Was tv 's screen setup?"			"3 - Click System.\nClick System. It's a computer-shaped icon in the Settings window."			False
"Was tv 's screen setup?"			'4 - Click the Display tab.\nClick the Display tab. This option is on the left side of the Display window.'			False
"Was tv 's screen setup?"			'5 - Scroll down to the "Multiple displays" section.\nScroll down to the "Multiple displays" section. It\'s near the bottom of the page.'			False
"Was tv 's screen setup?"			'6 - Click the "Multiple displays" drop-down box.\nClick the "Multiple displays" drop-down box. Doing so prompts a drop-down menu.'			False
"Was tv 's screen setup?"			"7 - Click Extend these displays.\nClick Extend these displays. It's an option in the drop-down box. This will ensure that your TV's screen acts as a continuation of your PC's screen (rather than just duplicating it)."			True
"Was tv 's screen setup?"			"8 - Use your extended TV display.\nUse your extended TV display. Moving your mouse all the way to the right edge of your computer will move the mouse onto your TV's screen, where you can proceed to use the computer like usual.\n- Any content on your computer's screen will remain as it was before extending the display.\n- Think of the TV as a screen immediately to the right of your computer's screen."			False
'Was keyboard setup?'			'0 - Mac'			False
'Was keyboard setup?'			'1 - Understand how key shortcuts work.\nUnderstand how key shortcuts work. To use a key shortcut, you will hold down one or more modifier keys and press a letter (or another modifier key). Modifier keys include the following:[2]\n- X\n- Research source\n- \n- \n- ⌘ Command - Located on the left and right sides of the spacebar.\n- ⌥ Option - Located next to the ⌘ Command keys.\n- Control - Located on the left side of the keyboard.\n- Fn - Located in the bottom-left side of the keyboard. This key activates the alternative uses for the "Function" keys (e.g., F8).\n- ⇧ Shift - Located on the left and right sides of the keyboard.\n- Arrow keys - While not technically modifier keys, the arrow keys can be used to select items.\n- ⏎ Return - Located on the right side of the keyboard. Allows you to open a selected item.'			False
'Was keyboard setup?'			'2 - Use keyboard shortcuts for common actions.\nUse keyboard shortcuts for common actions. Instead of using the mouse or a program\'s buttons, you can use your Mac\'s keyboard to do things like copying files or text, and opening certain programs:\n- \n- ⌘ Command+X - Copy selected text or file, then delete it from the current location (also called "cutting").\n- ⌘ Command+C - Copy selected text or file without deleting it.\n- ⌘ Command+V - Paste a copied item.\n- ⌘ Command+Z - Undo the last command.\n- ⌘ Command+⇧ Shift+Z - Redo the last command if you used the Undo command.\n- ⌘ Command+A - Select all items in your current folder.\n- ⌘ Command+F - Open the search bar in a specific window, browser, or program.\n- ⌘ Command+G - Find the next instance of an item (e.g., a word) you searched for.\n- ⌘ Command+⇧ Shift+G - Find the previous instance of an item you searched for.\n- ⌘ Command+H - Hide the front (currently open) app or program\'s window.\n- ⌘ Command+⌥ Option+H - Hide all windows except the front app or program.\n- ⌘ Command+M - Minimize the front window.\n- ⌘ Command+⌥ Option+M - Minimize all front app\'s windows.\n- ⌘ Command+N - Open a new document, window, or tab depending on the program you\'re using.\n- ⌘ Command+O - Open a selected item (e.g., a file or folder).\n- ⌘ Command+P - Print the current document.\n- ⌘ Command+S - Save your current document.\n- ⌘ Command+Q - Quit the front app.\n- ⌘ Command+Esc - Open the Force Quit menu.\n- ⌘ Command+⇧ Shift+⌥ Option+Esc - Hold for three seconds to force-quit the front app.\n- ⌘ Command+Space - Bring up the Spotlight search bar.\n- ⌘ Command+Tab ↹ - Switch to the next open app.\n- ⌘ Command+⇧ Shift+~ - Switch to the next window of the front app.\n- ⌘ Command+⇧ Shift+3 - Take a full-screen screenshot.\n- ⌘ Command+, - Open the front app\'s preferences.'			True
'Was keyboard setup?'			"3 - Make your computer sleep, log out, or shut down.\nMake your computer sleep, log out, or shut down. There are several shortcuts you can use to lock down your computer quickly:\n- \n- Control + Power button - Bring up the Sleep/Restart/Shut down menu.\n- Control+⌘ Command + Power button - Force your Mac to reboot.\n- Control+⇧ Shift + Power button - Shut off your Mac's screen.\n- Control+⌘ Command + Media eject button - Quit all apps, then restart.\n- Control+⌥ Option+⌘ Command + Power button - Quit all apps, then shut down.\n- ⇧ Shift+⌘ Command+Q - Brings up a prompt that, when accepted, logs you out of your account.\n- ⌥ Option+⇧ Shift+⌘ Command+Q - Logs you out of your account without asking to confirm."			False
'Was keyboard setup?'			'4 - Use shortcuts to navigate the Finder.\nUse shortcuts to navigate the Finder. You can use keyboard shortcuts to perform several actions inside of the Finder:\n- \n- ⌘ Command+D - Duplicate selected items.\n- ⌘ Command+E - Eject a selected drive (e.g., flash drive).\n- ⌘ Command+F - Open Spotlight in the Finder.\n- ⌘ Command+I - Display the Get Info window for a selected item.\n- ⌘ Command+⇧ Shift+C - Open the Computer folder.\n- ⌘ Command+⇧ Shift+D - Open the Desktop folder.\n- ⌘ Command+⇧ Shift+F - Open the All My Files folder.\n- ⌘ Command+⇧ Shift+G - Open a Go to Folder search.\n- ⌘ Command+⇧ Shift+H - Open your Mac\'s Home folder.\n- ⌘ Command+⇧ Shift+I - Open iCloud Drive.\n- ⌘ Command+⇧ Shift+K - Open the Network window.\n- ⌥ Option+⌘ Command+L - Open the Downloads folder.\n- ⌘ Command+⇧ Shift+O - Open the Documents folder.\n- ⌘ Command+⇧ Shift+R - Open the AirDrop utility.\n- Control+⌘ Command+⇧ Shift+T - Place the selected item on the Dock.\n- ⌘ Command+⇧ Shift+U - Open the Utilities folder.\n- ⌘ Command+⌥ Option+D - Hide the Dock (or show it if it\'s already hidden).\n- Control+⌘ Command+T - Add the selected item to the Finder sidebar.\n- ⌥ Option+⌘ Command+P - Hide the address bar (or show it if it\'s hidden).\n- ⌥ Option+⌘ Command+S - Hide the sidebar (or show it if it\'s hidden).\n- ⌘ Command+J - Show the folder View options.\n- ⌘ Command+N - Open a new window in the Finder.\n- ⌘ Command+⇧ Shift+N - Create a new folder in your current location in the Finder.\n- ⌘ Command+⌥ Option+N - Create a "smart" folder in your current location in Finder.\n- ⌘ Command+⌥ Option+V - Move copied files from their current location to your current location.\n- ⌘ Command + 1, 2, 3, or 4 - Change the way icons are displayed in the current folder.\n- ⌘ Command+[ - See the last folder you were in.\n- ⌘ Command+] - Go to the next folder in the path.\n- ⌘ Command + Brightness down - Enable or disable display mirroring while your Mac is connected to another display (e.g., a TV).\n- ⌘ Command+Del - Send a selected item to the Trash.\n- ⌘ Command+⇧ Shift+Delete - Empty the Trash with a warning message.\n- ⌘ Command+⌥ Option+⇧ Shift+Delete - Empty the trash without warning.\n- ⌥ Option + Brightness up - Open the Display settings.\n- ⌥ Option+Mission Control - Open your Mission Control preferences.\n- ⌥ Option+Volume Up - Open your Mac\'s Sound preferences.\n- ⌘ Command+Mission Control - Displays the desktop.'			False
'Was keyboard setup?'			'5 - Use shortcuts to edit the text in a document.\nUse shortcuts to edit the text in a document. Rather than clicking a text editor\'s various buttons, you can use shortcuts to edit the text:\n- \n- ⌘ Command+B - Make selected text bold.\n- ⌘ Command+I - Make selected text italic.\n- ⌘ Command+U - Make selected text underlined.\n- ⌘ Command+T - Hide the "Fonts" window, or displays it if the window is already hidden.\n- ⌘ Command+D - Chooses the Desktop folder as the Open or Save destination.\n- ⌘ Command+Control+D - Display a selected word\'s definition.\n- ⌘ Command+⇧ Shift+: - See the "Spelling and Grammar" window.\n- ⌘ Command+; - Search for spelling errors in the document.\n- Control+L - Place the cursor in the center of the screen.\n- ⌘ Command+⌥ Option+F - Open the Search field.\n- ⌘ Command+⌥ Option+C - Copy selected text\'s formatting.\n- ⌘ Command+⌥ Option+V - Apply copied formatting to selected text.\n- ⌘ Command+⌥ Option+⇧ Shift+V - Apply formatting from surrounding content to selected content.\n- ⌘ Command+I - Bring up the Inspector window.\n- ⌘ Command+P - Open document settings.\n- ⌘ Command+⇧ Shift+S - Open the "Save As" window.\n- ⌘ Command+⇧ Shift+- - Decrease a selected item\'s font size (or picture size).\n- ⌘ Command+⇧ Shift++ - Increase a selected item\'s font size (or picture size).\n- ⌘ Command+⇧ Shift+? - Open the Help window.'			False
