0####-####zooming####with####you####trackpad	0,0,0,0,0,0	0,0,0,0,0,1	True
1####-####open####something####that####can####be####zoom####.####open####something####that####can####be####zoom####.####you####can####change####the####zoom####on####web####page####,####picture####,####document####,####and####more####.####you####will####not####be####able####to####zoom####on####the####desktop####or####in####finder####.####-####;	0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
2####-####place####two####finger####on####the####trackpad####.####place####two####finger####on####the####trackpad####.	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0	False
3####-####move####you####two####finger####apart####to####zoom####in####.####move####you####two####finger####apart####to####zoom####in####.	0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
4####-####pinch####you####two####finger####together####to####zoom####out####.####pinch####you####two####finger####together####to####zoom####out####.	0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
5####-####double####-####tap####two####finger####to####zoom####in####on####you####cursor####.####double####-####tap####two####finger####to####zoom####in####on####you####cursor####.####double####-####tap####you####two####finger####again####to####zoom####out####.####this####will####magnify####the####part####of####the####document####or####web####page####that####you####cursor####be####over####.####[####1####]####-####x####-####research####source	0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
0####-####adjust####lcd####monitor####resolution	0,0,1,0,0,0	0,0,0,0,0,0	False
1####-####turn####on####the####computer####.####turn####on####the####computer####.####wait####for####the####main####screen####to####appear####.####-####;	0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	False
2####-####ensure####that####no####other####program####be####run####.####ensure####that####no####other####program####be####run####.	0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
3####-####move####the####cursor####over####"####start####"####(####or####the####microsoft####window####logo####)####from####the####lower####leave####hand####corner####of####the####screen####,####single####click####,####and####hold####the####mouse####button####down####to####view####other####menu####item####.####move####the####cursor####over####"####start####"####(####or####the####microsoft####window####logo####)####from####the####lower####leave####hand####corner####of####the####screen####,####single####click####,####and####hold####the####mouse####button####down####to####view####other####menu####item####.	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
4####-####select####"####control####panel####.####select####"####control####panel####.####"	0,0,1,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	False
5####-####locate####the####heading####,####"####appearance####and####personalization####,####"####then####select####the####sub-category####,####"####adjust####screen####resolution####.####locate####the####heading####,####"####appearance####and####personalization####,####"####then####select####the####sub-category####,####"####adjust####screen####resolution####.####"	0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	False
6####-####click####"####resolution####"####and####wait####for####a####drop####-####down####slider####control####to####appear####.####click####"####resolution####"####and####wait####for####a####drop####-####down####slider####control####to####appear####.	0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False
