'Is controller connected?'			'0 - Steps'			None
'Is controller connected?'			"1 - Connect your PS4 controller to your computer.\nConnect your PS4 controller to your computer. Using a USB to Micro-USB cable, connect your controller to a USB port on your computer. You can usually find these ports on the front or back of your computer tower, on the back of your monitor (if you're using an all-in-one), and along the sides of laptops. The Micro-USB cable plugs in at the top of your PS4 controller.\n- ;"			True
'Is controller connected?'			"2 - Right-click the Start logo .\nRight-click the Start logo . You'll see this logo in the bottom left corner of your screen if you haven't moved the location of the taskbar.\n- A menu will pop up from your mouse."			None
'Is controller connected?'			'3 - Type "Control Panel.\nType "Control Panel." As you type, the search window will show you results.'			None
'Is controller connected?'			'4 - Click Control Panel to launch the app.\nClick Control Panel to launch the app. You should see this listed as an app under "Best Results."\n- If you don\'t see it here, you can open the Run dialog (⊞ Win+R, enter "control panel" and press ↵ Enter.'			None
'Is controller connected?'			'5 - Click View Devices and Printers.\nClick View Devices and Printers. You\'ll see this under the header, "Hardware and Sound."\n- You\'ll see a listing of all your connected devices.'			None
'Is controller connected?'			"6 - Right-click Wireless Controller.\nRight-click Wireless Controller. You'll see this with the picture of a controller that closely resembles your PS4."			None
'Is controller connected?'			'7 - Click Game controller Settings.\nClick Game controller Settings. This is usually the first listing in the drop-down menu.\n- Another window should pop up.'			None
'Is controller connected?'			"8 - Click Properties.\nClick Properties. You'll see this in the lower right corner of the window that pops-up."			None
'Is controller connected?'			"9 - Press the buttons on your controller to see their reaction on the computer screen.\nPress the buttons on your controller to see their reaction on the computer screen. You'll see a bar that slides to show how hard you're pressing the button on your remote.\n- For example, the graph on your computer screen should tell you how hard you're pressing the trigger buttons on your controller.[1]\n- X\n- Research source"			None
'Is ps4 connected?'			'0 - Steps'			None
'Is ps4 connected?'			"1 - Connect your PS4 controller to your computer.\nConnect your PS4 controller to your computer. Using a USB to Micro-USB cable, connect your controller to a USB port on your computer. You can usually find these ports on the front or back of your computer tower, on the back of your monitor (if you're using an all-in-one), and along the sides of laptops. The Micro-USB cable plugs in at the top of your PS4 controller.\n- ;"			None
'Is ps4 connected?'			"2 - Right-click the Start logo .\nRight-click the Start logo . You'll see this logo in the bottom left corner of your screen if you haven't moved the location of the taskbar.\n- A menu will pop up from your mouse."			None
'Is ps4 connected?'			'3 - Type "Control Panel.\nType "Control Panel." As you type, the search window will show you results.'			None
'Is ps4 connected?'			'4 - Click Control Panel to launch the app.\nClick Control Panel to launch the app. You should see this listed as an app under "Best Results."\n- If you don\'t see it here, you can open the Run dialog (⊞ Win+R, enter "control panel" and press ↵ Enter.'			None
'Is ps4 connected?'			'5 - Click View Devices and Printers.\nClick View Devices and Printers. You\'ll see this under the header, "Hardware and Sound."\n- You\'ll see a listing of all your connected devices.'			None
'Is ps4 connected?'			"6 - Right-click Wireless Controller.\nRight-click Wireless Controller. You'll see this with the picture of a controller that closely resembles your PS4."			True
'Is ps4 connected?'			'7 - Click Game controller Settings.\nClick Game controller Settings. This is usually the first listing in the drop-down menu.\n- Another window should pop up.'			None
'Is ps4 connected?'			"8 - Click Properties.\nClick Properties. You'll see this in the lower right corner of the window that pops-up."			None
